prop_id,size_acres,size_square_feet,land_type_cd,land_soil_code,ag_use_cd,primary_use_cd
41315,6.0000,261360.00,"9         ",None,,18
41316,6.7100,292287.60,"9         ",None,,18
41317,5.5700,242629.20,"9         ",None,,18
41318,5.0000,217800.00,"9         ",None,,18
41319,5.7300,249598.80,"9         ",None,,18
41320,5.4400,236966.40,"9         ",None,,18
41321,5.0000,217800.00,"9         ",None,,18
41322,5.0000,217800.00,"9         ",None,,18
41323,2.2800,109335.60,"9         ",None,,18
41325,4.1900,182516.40,"9         ",None,,18
41326,2.5000,108900.00,"9         ",None,,18
41327,2.5000,108900.00,"9         ",None,,18
41328,22.1400,964418.40,"9         ",None,,81
41329,350.4500,15265602.00,"4         ","Well Circle Irrigated Agland #1         ",,91
41329,241.1300,10503622.80,"51        ","Dry Pasture #1                          ",,91
41330,1.7400,75794.00,"11        ",None,,
41331,3.2600,142006.00,"11        ",None,,65
41333,1.2400,54014.40,"11        ",None,,59
41334,3.9400,171626.00,"11        ",None,,16
41335,.6422,27975.00,"11        ",None,,98
41338,.1876,8174.00,"9         ",None,,12
41339,.2930,12765.00,"9         ",None,,11
41340,.1742,7590.00,"9         ",None,,11
41341,.2349,10235.00,"9         ",None,,11
41342,.2032,8855.00,"9         ",None,,12
41343,.2191,9545.00,"9         ",None,,11
41344,.2191,9545.00,"9         ",None,,11
41345,.2692,11730.00,"9         ",None,,11
41346,.2059,8970.00,"9         ",None,,11
41347,.2742,11948.00,"9         ",None,,12
41348,.3062,13340.00,"9         ",None,,12
41349,.2396,10440.00,"9         ",None,,11
41350,.2263,9860.00,"9         ",None,,11
41351,.2244,9775.00,"9         ",None,,11
41352,.2376,10350.00,"9         ",None,,11
41353,.3300,14375.00,"9         ",None,,12
41354,.1710,7452.00,"9         ",None,,12
41355,.1859,8100.00,"9         ",None,,11
41356,.2900,12636.00,"9         ",None,,12
41357,.2900,12636.00,"9         ",None,,12
41358,.3198,13932.00,"9         ",None,,12
41359,.3247,14148.00,"9         ",None,,12
41360,.2132,9288.00,"9         ",None,,11
41361,.2603,11342.00,"9         ",None,,11
41362,.2777,12099.00,"9         ",None,,12
41363,.1579,6882.00,"9         ",None,,11
41364,.1686,7345.00,"9         ",None,,11
41365,.1848,8050.00,"9         ",None,,11
41366,.1692,7371.00,"9         ",None,,11
41367,.1939,8449.00,"9         ",None,,11
41368,.2222,9680.00,"9         ",None,,11
41369,.4184,18228.00,"9         ",None,,11
41371,.2826,12312.00,"9         ",None,,11
41372,.1750,7626.00,"9         ",None,,12
41373,.2904,12650.00,"9         ",None,,12
41374,.2575,11220.00,"9         ",None,,12
41375,.2651,11550.00,"9         ",None,,12
41376,.1843,8030.00,"9         ",None,,11
41377,.2979,12980.00,"9         ",None,,12
41378,.1616,7040.00,"9         ",None,,11
41379,.1939,8449.00,"9         ",None,,11
41380,.2221,9676.00,"9         ",None,,11
41381,.2290,9976.00,"9         ",None,,11
41382,.2224,9690.00,"9         ",None,,11
41383,.2185,9520.00,"9         ",None,,11
41384,.2070,9020.00,"9         ",None,,11
41385,.2076,9047.00,"9         ",None,,11
41386,.2220,9672.00,"9         ",None,,12
41387,.2929,12760.00,"9         ",None,,12
41388,.2130,9280.00,"9         ",None,,11
41389,.2659,11583.00,"9         ",None,,12
41390,.2820,12285.00,"9         ",None,,12
41391,.2849,12412.00,"9         ",None,,11
41392,.2609,11368.00,"9         ",None,,11
41393,.2013,8769.00,"9         ",None,,12
41394,.1623,7070.00,"9         ",None,,11
41395,.3379,14723.00,"9         ",None,,12
41396,.2719,11848.00,"9         ",None,,11
41397,.2534,11040.00,"9         ",None,,11
41398,.2560,11155.00,"9         ",None,,11
41399,.2560,11155.00,"9         ",None,,11
41400,.1927,8395.00,"9         ",None,,11
41401,.1287,5610.00,"9         ",None,,11
41402,.2428,10580.00,"9         ",None,,12
41403,.2214,9647.00,"9         ",None,,12
41404,.2702,11771.00,"9         ",None,,11
41405,.2909,12672.00,"9         ",None,,12
41406,.3678,16023.00,"9         ",None,,12
41407,.2284,9951.00,"9         ",None,,12
41408,.2047,8918.00,"9         ",None,,12
41409,.3969,17292.00,"9         ",None,,12
41410,.3395,14790.00,"9         ",None,,11
41411,.3719,16200.00,"9         ",None,,11
41412,.4132,18000.00,"9         ",None,,11
41413,.2294,9996.00,"9         ",None,,11
41414,.2550,11110.00,"9         ",None,,12
41415,.2727,11880.00,"9         ",None,,12
41416,.2869,12500.00,"9         ",None,,12
41417,.2893,12603.00,"9         ",None,,12
41418,.2501,10895.00,"9         ",None,,12
41419,.2227,9701.00,"9         ",None,,12
41420,.4150,18080.00,"9         ",None,,12
41421,.4481,19520.00,"9         ",None,,12
41422,.2318,10100.00,"9         ",None,,11
41423,.2527,11009.00,"9         ",None,,12
41424,.2066,9000.00,"9         ",None,,11
41425,.4521,19694.00,"9         ",None,,12
41426,.2632,11468.00,"9         ",None,,12
41427,.1429,6225.00,"9         ",None,,11
41428,.1773,7725.00,"9         ",None,,11
41429,.4730,20607.00,"9         ",None,,11
41430,.2527,11009.00,"9         ",None,,11
41431,.2383,10384.00,"9         ",None,,12
41432,.2546,11092.00,"9         ",None,,12
41433,.2302,10030.00,"9         ",None,,11
41434,.2534,11040.00,"9         ",None,,12
41435,.3258,14195.00,"9         ",None,,12
41436,.2790,12155.00,"9         ",None,,11
41437,.3223,14040.00,"9         ",None,,11
41438,.2028,8835.00,"9         ",None,,11
41439,.2940,12810.00,"9         ",None,,12
41440,.1619,7054.00,"9         ",None,,11
41441,.1760,7670.00,"9         ",None,,11
41442,.1790,7800.00,"9         ",None,,11
41443,.3039,13242.00,"9         ",None,,12
41444,.1617,7045.00,"9         ",None,,11
41445,.1765,7690.00,"9         ",None,,11
41446,.2103,9163.00,"9         ",None,,11
41447,.2376,10350.00,"9         ",None,,11
41448,.2244,9775.00,"9         ",None,,11
41449,.2066,9000.00,"9         ",None,,11
41450,.2224,9690.00,"9         ",None,,11
41459,1.0400,45302.40,"11        ",None,,39
41460,.7730,33672.00,"11        ",None,,69
41461,.6724,29293.00,"11        ",None,,39
41463,1.3234,57647.30,"11        ",None,,76
41464,1.5700,68389.20,"11        ",None,,39
41466,1.8005,78431.00,"11        ",None,,63
41467,1.0784,46975.00,"11        ",None,,63
41468,3.9600,172497.60,"11        ",None,,76
41469,.2882,12555.00,"9         ",None,,12
41470,.2682,11685.00,"9         ",None,,12
41471,.2174,9471.00,"9         ",None,,12
41472,.2510,10935.00,"9         ",None,,11
41473,.2174,9471.00,"9         ",None,,11
41474,.2626,11439.00,"9         ",None,,11
41475,.3242,14125.00,"9         ",None,,12
41476,.2484,10824.00,"9         ",None,,11
41477,.3024,13176.00,"9         ",None,,11
41478,.2688,11712.00,"9         ",None,,11
41479,.2604,11346.00,"9         ",None,,11
41480,.2585,11264.00,"9         ",None,,11
41481,.2400,10456.00,"9         ",None,,11
41482,.2492,10858.00,"9         ",None,,11
41483,.2473,10774.00,"9         ",None,,11
41484,.1661,7238.00,"9         ",None,,11
41485,.1676,7304.00,"9         ",None,,11
41486,.1900,8280.00,"9         ",None,,11
41487,.2851,12420.00,"9         ",None,,12
41488,.1795,7820.00,"9         ",None,,11
41489,.1504,6555.00,"9         ",None,,11
41490,.1504,6555.00,"9         ",None,,11
41491,.1531,6670.00,"9         ",None,,11
41492,.2904,12650.00,"9         ",None,,12
41493,.2449,10668.00,"9         ",None,,12
41494,.1852,8071.00,"9         ",None,,11
41495,.1849,8056.00,"9         ",None,,12
41496,.1795,7820.00,"9         ",None,,11
41497,.2402,10465.00,"9         ",None,,11
41498,.2164,9430.00,"9         ",None,,11
41499,.2191,9545.00,"9         ",None,,11
41500,.2343,10208.00,"9         ",None,,11
41501,.2851,12420.00,"9         ",None,,12
41502,.1622,7068.00,"9         ",None,,11
41503,.1901,8283.00,"9         ",None,,11
41504,.1895,8256.00,"9         ",None,,11
41505,.2130,9280.00,"9         ",None,,12
41506,.2164,9430.00,"9         ",None,,12
41507,.2983,12995.00,"9         ",None,,12
41508,.2877,12535.00,"9         ",None,,12
41509,.3300,14375.00,"9         ",None,,11
41510,.1596,6954.00,"9         ",None,,11
41511,.1974,8601.00,"9         ",None,,11
41512,.2552,11118.00,"9         ",None,,12
41513,.2390,10411.00,"9         ",None,,11
41514,.2666,11615.00,"9         ",None,,11
41515,.2666,11615.00,"9         ",None,,11
41516,.2772,12075.00,"9         ",None,,11
41517,.3009,13110.00,"9         ",None,,12
41518,.1733,7552.00,"9         ",None,,11
41519,.1896,8260.00,"9         ",None,,11
41520,.2164,9430.00,"9         ",None,,12
41521,.2296,10005.00,"9         ",None,,12
41522,.2428,10580.00,"9         ",None,,11
41523,.2851,12420.00,"9         ",None,,12
41524,.2719,11845.00,"9         ",None,,12
41525,.3643,15870.00,"9         ",None,,12
41526,.3432,14950.00,"9         ",None,,12
41527,.2983,12995.00,"9         ",None,,12
41528,.2774,12084.00,"9         ",None,,11
41529,.2800,12198.00,"9         ",None,,12
41530,.2800,12198.00,"9         ",None,,11
41531,.2983,12996.00,"9         ",None,,11
41532,.2904,12654.00,"9         ",None,,12
41533,.2146,9348.00,"9         ",None,,11
41534,3.4100,148539.60,"9         ",None,,76
41535,.1955,8520.00,"9         ",None,,11
41536,.3223,14040.00,"9         ",None,,12
41537,.3471,15120.00,"9         ",None,,12
41538,.3498,15240.00,"9         ",None,,12
41539,.3553,15480.00,"9         ",None,,12
41540,.3250,14160.00,"9         ",None,,12
41541,.1432,6240.00,"9         ",None,,11
41542,.1282,5586.00,"9         ",None,,11
41543,.2580,11242.00,"9         ",None,,12
41544,.2802,12208.00,"9         ",None,,12
